year,city,sr,tmin,tmax,rh,sh,ep,ws,rf,,,,,,,,,,,,,,,,,,,,,,,
01/12/1997,Sokoto,16.30,16.50,30.00,18.00,7.70,1.90,8.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/1998,Sokoto,19.00,20.90,33.10,14.00,8.50,19.60,11.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/1998,Sokoto,19.30,24.00,35.90,12.00,9.50,22.00,8.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/1998,Sokoto,17.30,26.00,37.90,22.00,8.30,21.90,9.80,31.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/1998,Sokoto,18.60,24.20,39.70,15.00,6.50,28.50,8.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/1998,Sokoto,17.50,24.80,41.30,37.00,8.50,20.70,8.30,4.50,,,,,,,,,,,,,,,,,,,,,,,
01/06/1998,Sokoto,14.10,25.20,36.70,58.00,8.40,13.20,9.30,49.10,,,,,,,,,,,,,,,,,,,,,,,
01/07/1998,Sokoto,16.10,23.60,35.50,68.00,7.30,10.90,9.40,56.80,,,,,,,,,,,,,,,,,,,,,,,
01/08/1998,Sokoto,16.10,22.70,32.90,72.00,7.60,7.50,7.70,130.50,,,,,,,,,,,,,,,,,,,,,,,
01/09/1998,Sokoto,18.30,22.20,34.90,67.00,8.90,8.40,6.40,62.80,,,,,,,,,,,,,,,,,,,,,,,
01/10/1998,Sokoto,17.10,21.60,36.60,52.00,9.30,14.60,5.60,38.50,,,,,,,,,,,,,,,,,,,,,,,
01/11/1998,Sokoto,16.70,16.70,35.90,17.00,1.60,21.60,8.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/1998,Sokoto,16.50,13.90,32.30,25.00,9.90,22.20,10.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/1999,Sokoto,19.30,17.70,30.90,13.00,9.30,23.90,11.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/1999,Sokoto,17.50,19.70,34.30,14.00,9.90,26.60,10.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/1999,Sokoto,18.30,25.30,38.80,39.00,9.10,29.70,9.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/1999,Sokoto,16.70,28.20,40.10,45.00,6.40,21.50,7.50,5.80,,,,,,,,,,,,,,,,,,,,,,,
01/05/1999,Sokoto,16.30,28.90,40.30,63.00,9.60,19.70,8.20,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/06/1999,Sokoto,15.50,25.30,35.70,73.00,8.80,13.00,9.80,107.30,,,,,,,,,,,,,,,,,,,,,,,
01/07/1999,Sokoto,12.50,23.90,32.20,83.00,8.10,8.30,9.20,168.30,,,,,,,,,,,,,,,,,,,,,,,
01/08/1999,Sokoto,12.60,22.50,28.90,75.00,7.20,4.30,6.30,227.90,,,,,,,,,,,,,,,,,,,,,,,
01/09/1999,Sokoto,13.00,22.90,31.90,36.00,8.20,4.90,5.00,188.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/1999,Sokoto,11.70,22.70,36.30,21.00,9.20,14.50,6.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/1999,Sokoto,9.50,20.40,35.50,21.00,9.30,19.50,7.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/1999,Sokoto,15.30,17.30,30.40,20.00,1.00,21.90,7.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2000,Sokoto,12.90,15.00,28.50,18.00,8.50,23.90,12.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/2000,Sokoto,15.20,17.70,31.30,15.00,9.90,26.60,11.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/2000,Sokoto,14.50,23.00,37.40,13.00,9.30,29.70,7.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2000,Sokoto,12.20,25.40,40.70,26.00,9.00,21.50,6.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2000,Sokoto,12.50,26.60,38.80,50.00,8.40,19.70,8.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/2000,Sokoto,11.00,24.80,36.30,57.00,9.20,13.00,10.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2000,Sokoto,11.60,23.00,32.30,74.00,7.80,8.30,9.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/08/2000,Sokoto,16.50,23.00,31.20,79.00,6.20,4.30,7.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/09/2000,Sokoto,14.50,23.20,32.90,73.00,8.10,4.90,6.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/2000,Sokoto,16.50,23.20,35.10,48.00,9.80,14.50,6.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/2000,Sokoto,14.30,20.50,35.50,19.00,9.90,19.50,7.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/2000,Sokoto,14.50,18.00,31.90,27.00,9.40,21.90,9.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2001,Sokoto,18.90,19.00,33.50,20.00,9.50,19.60,8.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/2001,Sokoto,18.20,19.00,33.00,20.00,9.50,22.40,10.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/2001,Sokoto,17.90,21.00,35.60,12.00,8.50,25.50,11.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2001,Sokoto,15.60,27.70,41.00,36.00,8.90,17.50,6.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2001,Sokoto,17.00,26.50,38.70,52.00,8.40,14.70,10.40,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/2001,Sokoto,15.20,26.20,37.50,57.00,9.10,12.90,11.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2001,Sokoto,16.30,22.90,31.60,76.00,8.20,5.60,8.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/08/2001,Sokoto,17.00,23.30,32.10,75.00,5.90,4.80,6.80,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/09/2001,Sokoto,18.00,23.90,34.00,69.00,7.90,6.00,6.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/2001,Sokoto,14.60,24.00,37.30,44.00,9.10,12.50,4.80,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/2001,Sokoto,15.40,21.30,36.60,24.00,9.40,15.20,5.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/2001,Sokoto,15.30,20.30,35.00,23.00,8.40,14.70,5.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2002,Sokoto,15.10,17.60,31.90,17.00,9.90,18.80,9.20,2.80,,,,,,,,,,,,,,,,,,,,,,,
01/02/2002,Sokoto,16.40,22.40,37.30,16.00,9.60,18.30,5.80,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/2002,Sokoto,17.30,24.90,38.10,21.00,9.40,20.00,6.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2002,Sokoto,16.00,27.10,39.50,39.00,8.70,15.10,6.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2002,Sokoto,16.50,26.00,35.30,65.00,7.10,9.10,7.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/2002,Sokoto,14.50,25.10,34.90,66.00,8.40,7.80,6.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2002,Sokoto,14.10,22.80,31.40,78.00,9.10,4.70,6.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/08/2002,Sokoto,16.00,22.90,30.90,79.00,7.70,3.40,6.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/09/2002,Sokoto,16.90,23.60,33.60,74.00,8.60,4.70,5.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/2002,Sokoto,16.30,23.50,35.90,57.00,8.60,8.20,4.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/2002,Sokoto,18.50,20.50,35.50,18.00,7.30,17.00,7.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/2002,Sokoto,16.30,17.10,31.20,19.00,8.30,17.10,9.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2003,Sokoto,15.10,16.50,29.10,22.00,8.30,16.00,10.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/2003,Sokoto,16.40,18.80,33.00,13.00,8.40,22.40,10.50,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/03/2003,Sokoto,18.20,23.90,32.90,17.00,7.00,18.00,4.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2003,Sokoto,17.60,26.90,40.40,31.00,8.00,18.30,5.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2003,Sokoto,14.90,26.70,37.90,55.00,8.80,12.70,7.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/2003,Sokoto,15.10,25.50,36.40,59.00,8.70,10.80,7.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2003,Sokoto,14.90,22.80,31.70,59.00,7.10,5.30,5.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/08/2003,Sokoto,16.60,22.70,31.90,80.00,7.70,4.40,4.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/09/2003,Sokoto,17.10,23.00,32.50,72.00,8.20,4.70,2.80,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/2003,Sokoto,17.10,23.70,36.60,50.00,9.40,9.70,2.40,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/2003,Sokoto,15.30,20.50,34.30,22.00,9.30,12.60,5.50,10.20,,,,,,,,,,,,,,,,,,,,,,,
01/12/2003,Sokoto,16.50,17.00,32.50,15.00,9.30,13.30,5.60,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/01/2004,Sokoto,17.20,15.80,28.90,20.00,5.70,16.60,8.40,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/2004,Sokoto,18.90,19.80,35.70,15.00,8.30,16.30,3.70,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/03/2004,Sokoto,17.10,23.80,38.00,19.00,8.80,19.40,5.40,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2004,Sokoto,18.90,26.20,40.90,22.00,8.70,16.10,4.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2004,Sokoto,16.30,27.90,40.00,48.00,8.40,15.70,6.90,2.80,,,,,,,,,,,,,,,,,,,,,,,
01/06/2004,Sokoto,15.70,25.90,37.00,56.00,9.40,10.50,8.40,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2004,Sokoto,17.10,23.40,33.10,71.00,6.90,6.30,6.40,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/08/2004,Sokoto,16.80,23.20,31.80,76.00,6.00,4.10,4.70,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/09/2004,Sokoto,16.70,22.70,33.10,71.00,8.80,4.80,4.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/2004,Sokoto,17.30,23.60,37.10,51.00,9.60,9.20,2.90,33.30,,,,,,,,,,,,,,,,,,,,,,,
01/11/2004,Sokoto,13.70,20.50,35.60,22.00,9.80,12.50,6.20,9.20,,,,,,,,,,,,,,,,,,,,,,,
01/12/2004,Sokoto,15.30,17.90,33.30,19.00,8.90,13.60,5.90,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2005,Sokoto,16.70,17.20,32.30,21.00,9.20,15.10,7.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/2005,Sokoto,16.20,18.70,34.00,19.00,9.80,19.30,8.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/2005,Sokoto,16.80,24.40,40.30,14.00,7.90,19.80,5.80,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2005,Sokoto,17.20,27.40,40.40,41.00,9.00,15.90,7.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2005,Sokoto,16.20,27.70,39.60,45.00,8.00,14.00,7.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/2005,Sokoto,15.50,25.30,36.80,59.00,9.30,11.00,9.10,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2005,Sokoto,15.10,23.60,32.80,75.00,7.70,5.90,6.90,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/08/2005,Sokoto,16.90,25.90,31.90,82.00,6.80,3.40,5.20,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/09/2005,Sokoto,18.30,23.00,32.30,76.00,7.20,3.50,4.10,18.30,,,,,,,,,,,,,,,,,,,,,,,
01/10/2005,Sokoto,18.00,23.70,35.10,64.00,9.10,6.10,4.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/2005,Sokoto,13.20,19.70,35.20,27.00,8.90,13.40,7.10,5.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/2005,Sokoto,14.50,16.20,30.40,21.00,9.10,14.40,11.10,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/01/2006,Sokoto,18.60,14.90,30.20,20.00,9.70,14.90,9.70,2.70,,,,,,,,,,,,,,,,,,,,,,,
01/02/2006,Sokoto,18.30,17.00,33.10,15.00,8.70,17.00,10.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/03/2006,Sokoto,18.10,24.50,39.80,15.00,9.40,19.10,8.10,1.80,,,,,,,,,,,,,,,,,,,,,,,
01/04/2006,Sokoto,17.80,26.90,40.30,32.00,8.30,17.40,8.40,10.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/2006,Sokoto,17.30,27.70,39.80,47.00,8.20,13.40,8.90,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/06/2006,Sokoto,14.90,26.90,37.80,58.00,9.50,12.10,11.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/07/2006,Sokoto,15.70,23.80,34.50,68.00,8.40,8.20,9.80,24.10,,,,,,,,,,,,,,,,,,,,,,,
01/08/2006,Sokoto,16.50,22.50,31.50,81.00,7.70,3.60,6.70,30.80,,,,,,,,,,,,,,,,,,,,,,,
01/09/2006,Sokoto,17.50,23.10,32.90,74.00,8.40,4.40,6.50,17.50,,,,,,,,,,,,,,,,,,,,,,,
01/10/2006,Sokoto,16.40,23.70,36.90,54.00,8.00,8.90,5.20,11.10,,,,,,,,,,,,,,,,,,,,,,,
01/11/2006,Sokoto,14.80,19.90,35.60,24.00,9.90,14.80,7.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/12/2006,Sokoto,15.60,18.80,35.10,20.00,9.40,15.10,8.20,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2007,Sokoto,16.80,17.50,35.00,22.00,8.30,14.80,7.00,6.60,,,,,,,,,,,,,,,,,,,,,,,
01/02/2007,Sokoto,19.10,20.80,37.50,18.00,8.60,16.90,7.50,0.70,,,,,,,,,,,,,,,,,,,,,,,
01/03/2007,Sokoto,18.10,24.40,39.80,14.00,4.90,19.00,7.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2007,Sokoto,19.20,20.80,40.80,25.00,6.90,17.10,7.10,0.40,,,,,,,,,,,,,,,,,,,,,,,
01/05/2007,Sokoto,19.30,26.40,38.90,56.00,9.40,13.40,9.40,26.70,,,,,,,,,,,,,,,,,,,,,,,
01/06/2007,Sokoto,17.80,24.50,35.00,65.00,9.40,7.80,9.80,53.20,,,,,,,,,,,,,,,,,,,,,,,
01/07/2007,Sokoto,17.00,23.70,33.60,70.00,7.90,6.30,9.50,141.40,,,,,,,,,,,,,,,,,,,,,,,
01/08/2007,Sokoto,15.40,22.60,31.80,79.00,7.50,4.00,7.20,38.90,,,,,,,,,,,,,,,,,,,,,,,
01/09/2007,Sokoto,17.50,22.80,32.50,75.00,8.20,3.90,6.60,54.80,,,,,,,,,,,,,,,,,,,,,,,
01/10/2007,Sokoto,18.10,22.90,36.70,50.00,8.20,8.50,5.80,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/11/2007,Sokoto,17.90,18.50,34.50,22.00,10.10,13.90,8.20,17.80,,,,,,,,,,,,,,,,,,,,,,,
01/12/2007,Sokoto,14.90,17.00,34.90,23.00,9.10,14.20,7.80,49.00,,,,,,,,,,,,,,,,,,,,,,,
01/01/2008,Sokoto,14.90,16.90,34.20,19.00,10.00,14.60,8.20,141.30,,,,,,,,,,,,,,,,,,,,,,,
01/02/2008,Sokoto,17.00,16.40,31.60,18.00,8.90,18.50,11.50,6.90,,,,,,,,,,,,,,,,,,,,,,,
01/03/2008,Sokoto,18.70,22.50,36.90,18.00,8.70,10.30,8.70,45.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/2008,Sokoto,16.90,25.90,40.10,37.00,7.10,15.50,8.10,26.50,,,,,,,,,,,,,,,,,,,,,,,
01/05/2008,Sokoto,18.00,26.10,36.80,58.00,9.70,9.70,8.30,60.50,,,,,,,,,,,,,,,,,,,,,,,
01/06/2008,Sokoto,16.50,24.10,34.90,65.00,9.00,7.40,8.40,67.40,,,,,,,,,,,,,,,,,,,,,,,
01/07/2008,Sokoto,15.70,23.70,33.40,73.00,6.60,5.50,8.30,71.30,,,,,,,,,,,,,,,,,,,,,,,
01/08/2008,Sokoto,13.20,22.70,32.60,77.00,8.50,3.40,6.50,114.10,,,,,,,,,,,,,,,,,,,,,,,
01/09/2008,Sokoto,17.10,23.60,34.10,69.00,8.10,4.70,6.50,104.50,,,,,,,,,,,,,,,,,,,,,,,
01/10/2008,Sokoto,18.80,24.70,37.60,57.00,8.80,7.70,6.40,19.40,,,,,,,,,,,,,,,,,,,,,,,
01/11/2008,Sokoto,17.50,21.40,38.40,28.00,8.80,12.30,4.40,45.60,,,,,,,,,,,,,,,,,,,,,,,
01/12/2008,Sokoto,14.30,18.00,34.40,27.00,8.50,14.20,7.30,41.30,,,,,,,,,,,,,,,,,,,,,,,
01/01/2009,Sokoto,15.80,17.00,32.50,22.00,8.70,14.60,9.10,24.80,,,,,,,,,,,,,,,,,,,,,,,
01/02/2009,Sokoto,16.70,21.40,37.00,22.00,10.10,18.10,9.50,128.70,,,,,,,,,,,,,,,,,,,,,,,
01/03/2009,Sokoto,19.80,21.90,36.90,17.00,7.50,20.00,9.90,163.50,,,,,,,,,,,,,,,,,,,,,,,
01/04/2009,Sokoto,20.70,28.20,42.10,33.00,8.60,17.30,8.20,72.70,,,,,,,,,,,,,,,,,,,,,,,
01/05/2009,Sokoto,19.30,29.00,40.10,48.00,7.80,13.70,9.80,117.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/2009,Sokoto,18.00,26.10,36.70,61.00,7.60,9.30,9.50,61.90,,,,,,,,,,,,,,,,,,,,,,,
01/07/2009,Sokoto,13.90,24.00,32.60,73.00,7.60,5.60,9.00,39.70,,,,,,,,,,,,,,,,,,,,,,,
01/08/2009,Sokoto,15.00,23.00,31.10,81.00,7.20,2.60,6.60,51.80,,,,,,,,,,,,,,,,,,,,,,,
01/09/2009,Sokoto,16.50,23.40,31.90,77.00,7.80,4.40,5.60,23.70,,,,,,,,,,,,,,,,,,,,,,,
01/10/2009,Sokoto,14.50,24.30,36.70,56.00,8.10,6.10,6.00,194.40,,,,,,,,,,,,,,,,,,,,,,,
01/11/2009,Sokoto,17.60,21.00,37.50,22.00,8.90,11.60,4.70,152.80,,,,,,,,,,,,,,,,,,,,,,,
01/12/2009,Sokoto,14.30,18.20,33.40,27.00,5.10,14.10,6.40,88.70,,,,,,,,,,,,,,,,,,,,,,,
01/01/2010,Sokoto,15.40,16.80,33.50,20.00,9.40,14.90,6.80,42.60,,,,,,,,,,,,,,,,,,,,,,,
01/02/2010,Sokoto,18.00,19.70,35.80,16.00,9.10,18.20,5.90,59.70,,,,,,,,,,,,,,,,,,,,,,,
01/03/2010,Sokoto,19.40,23.90,41.00,17.00,9.30,19.50,6.20,36.80,,,,,,,,,,,,,,,,,,,,,,,
01/04/2010,Sokoto,19.20,27.10,40.80,33.00,9.10,17.60,7.60,231.60,,,,,,,,,,,,,,,,,,,,,,,
01/05/2010,Sokoto,18.30,27.10,39.70,49.00,7.90,11.70,8.00,287.90,,,,,,,,,,,,,,,,,,,,,,,
01/06/2010,Sokoto,19.10,26.30,37.40,54.00,8.30,10.20,8.90,128.90,,,,,,,,,,,,,,,,,,,,,,,
01/07/2010,Sokoto,14.60,23.30,32.50,75.00,7.80,4.90,8.50,82.50,,,,,,,,,,,,,,,,,,,,,,,
01/08/2010,Sokoto,16.10,22.40,29.90,84.00,7.50,2.40,6.10,40.60,,,,,,,,,,,,,,,,,,,,,,,
01/09/2010,Sokoto,17.20,22.40,31.80,77.00,7.90,2.90,5.30,65.90,,,,,,,,,,,,,,,,,,,,,,,
01/10/2010,Sokoto,18.30,22.40,34.80,54.00,8.40,6.40,5.10,94.70,,,,,,,,,,,,,,,,,,,,,,,
01/11/2010,Sokoto,17.80,20.80,36.30,24.00,8.30,11.10,6.00,64.10,,,,,,,,,,,,,,,,,,,,,,,
01/12/2010,Sokoto,15.40,16.50,32.70,24.00,6.80,11.70,7.30,126.10,,,,,,,,,,,,,,,,,,,,,,,
01/01/2011,Sokoto,16.10,18.90,33.10,25.00,8.80,13.00,7.70,126.50,,,,,,,,,,,,,,,,,,,,,,,
01/02/2011,Sokoto,18.20,16.90,31.20,23.00,7.20,14.20,9.80,347.40,,,,,,,,,,,,,,,,,,,,,,,
01/03/2011,Sokoto,18.30,21.50,37.10,11.00,7.60,17.30,9.20,172.60,,,,,,,,,,,,,,,,,,,,,,,
01/04/2011,Sokoto,18.60,26.60,42.20,33.00,7.40,14.50,6.10,150.90,,,,,,,,,,,,,,,,,,,,,,,
01/05/2011,Sokoto,15.00,27.90,40.60,40.00,7.30,13.40,8.00,204.70,,,,,,,,,,,,,,,,,,,,,,,
01/06/2011,Sokoto,16.60,25.20,36.30,62.00,7.90,8.90,8.80,163.70,,,,,,,,,,,,,,,,,,,,,,,
01/07/2011,Sokoto,12.80,23.50,32.30,75.00,7.30,4.80,8.00,200.50,,,,,,,,,,,,,,,,,,,,,,,
01/08/2011,Sokoto,13.90,22.80,31.30,77.00,1.60,3.40,6.10,160.50,,,,,,,,,,,,,,,,,,,,,,,
01/09/2011,Sokoto,17.30,23.30,32.90,69.00,8.20,4.00,5.90,112.80,,,,,,,,,,,,,,,,,,,,,,,
01/10/2011,Sokoto,17.80,23.00,35.50,51.00,8.90,6.70,6.10,180.60,,,,,,,,,,,,,,,,,,,,,,,
01/11/2011,Sokoto,16.40,19.50,36.90,20.00,7.90,11.40,7.10,162.90,,,,,,,,,,,,,,,,,,,,,,,
01/12/2011,Sokoto,15.70,16.60,32.50,24.00,9.60,11.00,5.60,361.60,,,,,,,,,,,,,,,,,,,,,,,
01/01/2012,Sokoto,14.10,15.40,32.50,18.00,9.30,12.10,7.80,360.80,,,,,,,,,,,,,,,,,,,,,,,
01/02/2012,Sokoto,17.20,17.50,33.40,13.00,7.10,13.80,9.10,183.10,,,,,,,,,,,,,,,,,,,,,,,
01/03/2012,Sokoto,17.70,22.40,39.50,13.00,7.20,16.30,7.50,288.70,,,,,,,,,,,,,,,,,,,,,,,
01/04/2012,Sokoto,19.00,26.80,40.30,34.00,7.30,14.40,8.80,296.50,,,,,,,,,,,,,,,,,,,,,,,
01/05/2012,Sokoto,16.90,27.50,38.70,53.00,6.90,10.80,8.50,146.70,,,,,,,,,,,,,,,,,,,,,,,
01/06/2012,Sokoto,17.80,25.60,35.70,62.00,6.90,8.20,8.80,153.70,,,,,,,,,,,,,,,,,,,,,,,
01/07/2012,Sokoto,14.50,24.10,33.20,72.00,7.50,4.90,7.60,183.40,,,,,,,,,,,,,,,,,,,,,,,
01/08/2012,Sokoto,14.70,22.90,31.10,79.00,6.10,2.80,6.10,152.20,,,,,,,,,,,,,,,,,,,,,,,
01/09/2012,Sokoto,15.00,28.00,32.90,73.00,8.00,3.60,6.10,114.60,,,,,,,,,,,,,,,,,,,,,,,
01/10/2012,Sokoto,16.60,22.90,36.40,42.00,8.20,8.70,5.70,322.80,,,,,,,,,,,,,,,,,,,,,,,
01/11/2012,Sokoto,14.90,20.00,36.50,27.00,7.90,11.30,8.20,192.50,,,,,,,,,,,,,,,,,,,,,,,
01/12/2012,Sokoto,16.50,18.30,35.20,24.00,8.20,11.60,5.90,109.60,,,,,,,,,,,,,,,,,,,,,,,
01/01/2013,Sokoto,15.50,17.80,34.50,19.00,5.70,12.00,7.90,211.30,,,,,,,,,,,,,,,,,,,,,,,
01/02/2013,Sokoto,19.30,24.30,39.50,19.00,8.30,12.20,7.80,132.50,,,,,,,,,,,,,,,,,,,,,,,
01/03/2013,Sokoto,18.30,27.80,40.80,40.00,8.80,15.30,7.60,238.20,,,,,,,,,,,,,,,,,,,,,,,
01/04/2013,Sokoto,20.20,28.30,40.80,48.00,7.60,12.20,6.60,355.60,,,,,,,,,,,,,,,,,,,,,,,
01/05/2013,Sokoto,19.10,26.20,37.10,58.00,8.40,11.70,8.20,170.40,,,,,,,,,,,,,,,,,,,,,,,
01/06/2013,Sokoto,18.30,24.00,33.30,74.00,6.70,8.90,8.10,240.90,,,,,,,,,,,,,,,,,,,,,,,
01/07/2013,Sokoto,15.80,23.10,31.60,79.00,7.00,4.70,7.70,175.70,,,,,,,,,,,,,,,,,,,,,,,
01/08/2013,Sokoto,13.90,23.10,32.90,73.00,6.70,3.00,6.00,183.10,,,,,,,,,,,,,,,,,,,,,,,
01/09/2013,Sokoto,16.80,22.20,34.40,59.00,7.50,3.30,5.30,304.30,,,,,,,,,,,,,,,,,,,,,,,
01/10/2013,Sokoto,17.70,19.60,36.10,26.00,7.50,5.20,4.40,159.80,,,,,,,,,,,,,,,,,,,,,,,
01/11/2013,Sokoto,14.50,16.90,34.00,22.00,9.40,9.90,7.30,141.90,,,,,,,,,,,,,,,,,,,,,,,
01/12/2013,Sokoto,15.90,19.50,34.90,25.00,8.60,10.50,11.10,179.20,,,,,,,,,,,,,,,,,,,,,,,
01/01/2014,Sokoto,15.00,20.40,37.30,17.00,6.90,10.20,6.80,108.20,,,,,,,,,,,,,,,,,,,,,,,
01/02/2014,Sokoto,17.30,22.40,38.10,17.00,8.30,13.30,8.10,67.20,,,,,,,,,,,,,,,,,,,,,,,
01/03/2014,Sokoto,20.20,26.90,40.60,44.00,8.30,15.00,7.50,171.10,,,,,,,,,,,,,,,,,,,,,,,
01/04/2014,Sokoto,18.60,26.70,40.80,42.00,7.70,11.90,7.60,314.70,,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,Sokoto,17.70,25.50,35.90,60.00,8.30,12.10,8.60,235.60,,,,,,,,,,,,,,,,,,,,,,,
01/06/2014,Sokoto,17.00,24.00,33.10,73.00,6.90,7.90,7.60,130.20,,,,,,,,,,,,,,,,,,,,,,,
01/07/2014,Sokoto,15.20,22.90,30.70,80.00,7.00,4.50,6.10,179.90,,,,,,,,,,,,,,,,,,,,,,,
01/08/2014,Sokoto,11.60,23.30,32.30,73.00,8.40,2.50,4.60,357.60,,,,,,,,,,,,,,,,,,,,,,,
01/09/2014,Sokoto,15.90,23.90,36.60,58.00,7.20,3.30,5.90,60.00,,,,,,,,,,,,,,,,,,,,,,,
01/10/2014,Sokoto,15.30,20.90,37.20,28.00,6.30,5.90,4.90,71.30,,,,,,,,,,,,,,,,,,,,,,,
01/11/2014,Sokoto,16.20,16.70,33.20,22.00,8.20,10.80,7.10,85.80,,,,,,,,,,,,,,,,,,,,,,,
01/12/2014,Sokoto,15.30,20.30,33.30,23.00,6.40,9.70,8.20,164.80,,,,,,,,,,,,,,,,,,,,,,,
